v0,v1,v2,v3
1.545687,-0.000054,1.545303,-0.000047
1.548243,-0.000074,1.547869,-0.000048
1.546798,-0.000071,1.546173,-0.000058
1.543061,-0.000065,1.542520,-0.000068
1.545687,-0.000054,1.545303,-0.000047
1.547658,-0.000049,1.547142,-0.000038
1.544468,-0.000058,1.543809,-0.000043
1.544208,-0.000063,1.543728,-0.000060
1.548140,-0.000055,1.547671,-0.000059
1.545704,-0.000051,1.545064,-0.000059
1.543662,-0.000068,1.543155,-0.000061
1.546950,-0.000042,1.546508,-0.000055
1.547857,-0.000048,1.547277,-0.000050
1.544840,-0.000063,1.544223,-0.000067
1.546314,-0.000055,1.545820,-0.000062
1.547831,-0.000065,1.547265,-0.000059
1.543925,-0.000055,1.543302,-0.000079
1.544305,-0.000042,1.543844,-0.000064
1.547691,-0.000053,1.547247,-0.000072
1.546275,-0.000042,1.545690,-0.000053
1.543366,-0.000044,1.542832,-0.000052
1.546106,-0.000073,1.545651,-0.000069
1.547772,-0.000054,1.547228,-0.000053
1.545749,-0.000056,1.545188,-0.000065
1.546044,-0.000065,1.545566,-0.000081
1.548110,-0.000046,1.547612,-0.000061
1.546014,-0.000058,1.545363,-0.000043
1.544269,-0.000063,1.543748,-0.000059
1.546915,-0.000065,1.546463,-0.000057
1.546366,-0.000053,1.545811,-0.000063
1.543913,-0.000041,1.543393,-0.000052
1.545821,-0.000059,1.545371,-0.000050
1.548334,-0.000052,1.547835,-0.000070
1.544404,-0.000048,1.543821,-0.000052
1.544263,-0.000063,1.543828,-0.000050
1.547942,-0.000057,1.547463,-0.000062
1.545958,-0.000063,1.545354,-0.000061
1.544225,-0.000072,1.543707,-0.000053
1.547392,-0.000061,1.546950,-0.000055
1.548083,-0.000053,1.547521,-0.000042
1.544495,-0.000059,1.543909,-0.000047
1.545943,-0.000063,1.545492,-0.000054
1.546627,-0.000056,1.546052,-0.000058
1.543784,-0.000068,1.543218,-0.000067
1.544752,-0.000063,1.544311,-0.000056
1.547766,-0.000048,1.547283,-0.000058
1.546330,-0.000041,1.545759,-0.000048
1.543791,-0.000054,1.543260,-0.000057
1.545927,-0.000063,1.545492,-0.000057
1.546718,-0.000055,1.546166,-0.000063
1.546212,-0.000071,1.545637,-0.000057
1.546558,-0.000055,1.546059,-0.000042
1.547112,-0.000047,1.546582,-0.000058
1.545125,-0.000053,1.544524,-0.000054
1.542880,-0.000065,1.542321,-0.000067
1.544845,-0.000061,1.544345,-0.000048
1.546295,-0.000058,1.545752,-0.000062
1.545791,-0.000072,1.545252,-0.000051
1.545467,-0.000056,1.544965,-0.000026
1.546183,-0.000048,1.545666,-0.000056
1.544494,-0.000056,1.543901,-0.000033
1.543670,-0.000065,1.543156,-0.000059
1.546904,-0.000063,1.546510,-0.000059
1.548269,-0.000066,1.547710,-0.000041
1.544859,-0.000071,1.544219,-0.000045
1.544274,-0.000074,1.543801,-0.000046
1.546754,-0.000052,1.546257,-0.000051
1.543923,-0.000050,1.543321,-0.000044
1.543359,-0.000076,1.542881,-0.000062
1.548299,-0.000053,1.547914,-0.000040
1.547142,-0.000060,1.546539,-0.000056
1.542544,-0.000073,1.541948,-0.000071
1.545488,-0.000051,1.545088,-0.000057
1.546840,-0.000055,1.546265,-0.000059
1.542813,-0.000080,1.542185,-0.000059
1.545982,-0.000066,1.545584,-0.000076
1.549709,-0.000057,1.549176,-0.000053
1.544164,-0.000072,1.543481,-0.000039
1.542366,-0.000072,1.541952,-0.000044
1.547394,-0.000074,1.546943,-0.000060
1.545561,-0.000056,1.544910,-0.000047
1.542507,-0.000060,1.541978,-0.000041
1.547846,-0.000053,1.547440,-0.000064
1.548625,-0.000043,1.548051,-0.000054
1.542965,-0.000069,1.542308,-0.000061
1.544964,-0.000074,1.544558,-0.000049
1.548084,-0.000057,1.547618,-0.000040
1.544529,-0.000071,1.543917,-0.000056
1.546126,-0.000079,1.545687,-0.000066
1.550245,-0.000047,1.549760,-0.000050
1.545897,-0.000075,1.545228,-0.000047
1.541969,-0.000073,1.541434,-0.000079
1.545931,-0.000053,1.545548,-0.000049
1.546927,-0.000059,1.546414,-0.000050
1.545264,-0.000058,1.544737,-0.000067
1.547389,-0.000076,1.546947,-0.000048
1.547510,-0.000065,1.546990,-0.000068
1.544122,-0.000064,1.543498,-0.000071
1.542493,-0.000080,1.541981,-0.000065
1.546158,-0.000078,1.545726,-0.000067
1.547608,-0.000059,1.547078,-0.000049
1.547250,-0.000064,1.546706,-0.000052
1.546897,-0.000064,1.546333,-0.000059
1.545293,-0.000051,1.544738,-0.000072
1.542861,-0.000054,1.542275,-0.000065
1.542777,-0.000054,1.542296,-0.000055
1.547791,-0.000065,1.547406,-0.000063
1.549167,-0.000056,1.548646,-0.000046
1.545812,-0.000062,1.545192,-0.000055
1.544060,-0.000072,1.543545,-0.000056
1.545750,-0.000063,1.545271,-0.000063
1.543240,-0.000060,1.542635,-0.000059
1.543834,-0.000049,1.543405,-0.000043
1.549860,-0.000079,1.549431,-0.000068
1.547676,-0.000061,1.547015,-0.000055
1.542594,-0.000063,1.541988,-0.000059
1.544266,-0.000076,1.543789,-0.000067
1.545539,-0.000036,1.544964,-0.000061
1.541908,-0.000084,1.541342,-0.000072
1.546649,-0.000062,1.546304,-0.000040
1.550615,-0.000049,1.550100,-0.000042
1.544323,-0.000073,1.543616,-0.000062
1.542247,-0.000039,1.541784,-0.000058
1.546287,-0.000051,1.545882,-0.000055
1.544972,-0.000058,1.544360,-0.000048
1.543354,-0.000067,1.542879,-0.000050
1.548944,-0.000069,1.548546,-0.000054
1.547535,-0.000055,1.546896,-0.000070
1.541686,-0.000060,1.541037,-0.000051
1.543181,-0.000063,1.542735,-0.000049
1.546130,-0.000064,1.545643,-0.000063
1.543983,-0.000076,1.543390,-0.000056
1.545915,-0.000074,1.545511,-0.000059
1.549526,-0.000071,1.548995,-0.000052
1.544832,-0.000070,1.544113,-0.000060
1.542239,-0.000056,1.541722,-0.000048
1.545021,-0.000057,1.544590,-0.000039
1.545903,-0.000056,1.545396,-0.000029
1.545545,-0.000051,1.545073,-0.000021
1.547415,-0.000060,1.546967,-0.000066
1.546481,-0.000068,1.545934,-0.000063
1.543572,-0.000067,1.542983,-0.000039
1.542682,-0.000064,1.542151,-0.000055
1.544154,-0.000054,1.543699,-0.000064
1.547063,-0.000066,1.546593,-0.000058
1.547604,-0.000071,1.547043,-0.000042
1.546061,-0.000052,1.545420,-0.000049
1.545021,-0.000056,1.544473,-0.000044
1.544176,-0.000059,1.543614,-0.000054
1.543002,-0.000067,1.542451,-0.000065
1.546764,-0.000065,1.546350,-0.000055
1.549419,-0.000063,1.548862,-0.000069
1.545281,-0.000069,1.544659,-0.000050
1.543548,-0.000076,1.543025,-0.000064
1.544985,-0.000063,1.544486,-0.000060
1.542850,-0.000063,1.542213,-0.000050
1.542858,-0.000056,1.542384,-0.000057
1.549698,-0.000044,1.549375,-0.000047
1.548685,-0.000079,1.548034,-0.000066
1.542921,-0.000052,1.542332,-0.000048
1.544823,-0.000052,1.544403,-0.000052
1.546016,-0.000064,1.545488,-0.000063
1.543493,-0.000051,1.542947,-0.000053
1.546847,-0.000073,1.546463,-0.000057
1.550297,-0.000054,1.549801,-0.000058
1.543267,-0.000053,1.542543,-0.000060
1.541311,-0.000053,1.540845,-0.000047
1.546103,-0.000066,1.545698,-0.000048
1.544971,-0.000079,1.544358,-0.000055
1.544354,-0.000071,1.543838,-0.000058
1.548796,-0.000072,1.548375,-0.000059
1.547737,-0.000054,1.547106,-0.000049
